[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 08:16:05] [171/262] 6976.T: best train_pf_eff=0.588, forward_pf_eff=0.200, trades=27/6
[2025-10-17 08:16:15] [172/262] 6981.T: best train_pf_eff=0.856, forward_pf_eff=2.247, trades=11/5
[2025-10-17 08:16:24] [173/262] 6988.T: best train_pf_eff=0.285, forward_pf_eff=0.333, trades=9/8
[2025-10-17 08:16:35] [174/262] 7003.T: best train_pf_eff=0.749, forward_pf_eff=1.124, trades=4/5
[2025-10-17 08:16:45] [175/262] 7011.T: best train_pf_eff=0.999, forward_pf_eff=5.992, trades=5/5
[2025-10-17 08:16:55] [176/262] 7012.T: best train_pf_eff=0.400, forward_pf_eff=2.997, trades=15/6
[2025-10-17 08:17:04] [177/262] 7013.T: best train_pf_eff=0.416, forward_pf_eff=3.747, trades=14/6
[2025-10-17 08:17:08] [178/262] 7167.T: best train_pf_eff=0.999, forward_pf_eff=0.999, trades=2/2
[2025-10-17 08:17:18] [179/262] 7182.T: best train_pf_eff=0.337, forward_pf_eff=0.281, trades=29/11
[2025-10-17 08:17:23] [180/262] 7186.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 08:17:34] [181/262] 7201.T: best train_pf_eff=0.050, forward_pf_eff=0.150, trades=31/11
[2025-10-17 08:17:40] [182/262] 7202.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/1
[2025-10-17 08:17:52] [183/262] 7203.T: best train_pf_eff=0.107, forward_pf_eff=0.000, trades=16/7
[2025-10-17 08:17:55] [184/262] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 08:18:05] [185/262] 7261.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=6/4
[2025-10-17 08:18:15] [186/262] 7267.T: best train_pf_eff=0.610, forward_pf_eff=0.428, trades=29/10
[2025-10-17 08:18:24] [187/262] 7269.T: best train_pf_eff=0.000, forward_pf_eff=0.479, trades=17/7
[2025-10-17 08:18:33] [188/262] 7270.T: best train_pf_eff=0.141, forward_pf_eff=0.160, trades=20/6
[2025-10-17 08:18:42] [189/262] 7272.T: best train_pf_eff=0.333, forward_pf_eff=0.000, trades=8/7
[2025-10-17 08:18:52] [190/262] 7453.T: best train_pf_eff=0.749, forward_pf_eff=1.498, trades=12/6
[2025-10-17 08:19:00] [191/262] 7532.T: best train_pf_eff=0.899, forward_pf_eff=0.499, trades=16/4
[2025-10-17 08:19:10] [192/262] 7711.T: best train_pf_eff=0.642, forward_pf_eff=0.300, trades=10/6
[2025-10-17 08:19:14] [193/262] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/2
[2025-10-17 08:19:18] [194/262] 7733.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=5/0
[2025-10-17 08:19:28] [195/262] 7735.T: best train_pf_eff=0.136, forward_pf_eff=0.100, trades=25/11
[2025-10-17 08:19:39] [196/262] 7741.T: best train_pf_eff=0.437, forward_pf_eff=1.498, trades=23/5
[2025-10-17 08:19:49] [197/262] 7751.T: best train_pf_eff=1.383, forward_pf_eff=0.599, trades=25/7
[2025-10-17 08:19:58] [198/262] 7832.T: best train_pf_eff=0.400, forward_pf_eff=0.000, trades=14/3
[2025-10-17 08:20:03] [199/262] 7911.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 08:20:06] [200/262] 7912.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=2/0
[2025-10-17 08:20:15] [201/262] 7936.T: best train_pf_eff=0.264, forward_pf_eff=1.498, trades=20/6
[2025-10-17 08:20:25] [202/262] 7974.T: best train_pf_eff=0.468, forward_pf_eff=0.666, trades=21/13
[2025-10-17 08:20:34] [203/262] 8001.T: best train_pf_eff=1.030, forward_pf_eff=0.499, trades=27/4
[2025-10-17 08:20:44] [204/262] 8002.T: best train_pf_eff=0.034, forward_pf_eff=1.124, trades=23/5
[2025-10-17 08:20:52] [205/262] 8015.T: best train_pf_eff=0.999, forward_pf_eff=0.000, trades=4/5
[2025-10-17 08:21:02] [206/262] 8031.T: best train_pf_eff=0.999, forward_pf_eff=0.499, trades=25/12
[2025-10-17 08:21:12] [207/262] 8035.T: best train_pf_eff=0.409, forward_pf_eff=0.000, trades=14/5
[2025-10-17 08:21:22] [208/262] 8053.T: best train_pf_eff=0.352, forward_pf_eff=0.000, trades=21/5
[2025-10-17 08:21:32] [209/262] 8058.T: best train_pf_eff=0.499, forward_pf_eff=0.499, trades=21/6
[2025-10-17 08:21:39] [210/262] 8105.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/1
[2025-10-17 08:21:46] [211/262] 8113.T: best train_pf_eff=0.999, forward_pf_eff=999.000, trades=10/2
[2025-10-17 08:21:58] [212/262] 8136.T: best train_pf_eff=0.187, forward_pf_eff=10.486, trades=18/8
[2025-10-17 08:22:04] [213/262] 8233.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=12/1
[2025-10-17 08:22:15] [214/262] 8267.T: best train_pf_eff=0.352, forward_pf_eff=0.000, trades=21/8
[2025-10-17 08:22:24] [215/262] 8306.T: best train_pf_eff=0.315, forward_pf_eff=0.250, trades=23/7
[2025-10-17 08:22:33] [216/262] 8308.T: best train_pf_eff=0.500, forward_pf_eff=3.747, trades=5/6
[2025-10-17 08:22:43] [217/262] 8309.T: best train_pf_eff=0.088, forward_pf_eff=0.000, trades=19/5
[2025-10-17 08:22:53] [218/262] 8316.T: best train_pf_eff=0.562, forward_pf_eff=2.247, trades=11/5
[2025-10-17 08:23:00] [219/262] 8331.T: best train_pf_eff=1.499, forward_pf_eff=1.124, trades=3/5
