winrate_TR,pf_TR,trades_TR,code,ATR_n_TR,TPk_TR,SLk_TR,J_th_TR,dJ_th_TR,vEMA_th_TR,PF_eff_TR,winrate_FW,pf_FW,trades_FW,ATR_n_FW,TPk_FW,SLk_FW,J_th_FW,dJ_th_FW,vEMA_th_FW,PF_eff_FW
0.40336134453781514,0.3260377358490566,714,5019.T,5,1.2,2.5,1.0,0.05,0.05,0.3241869643967452,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.05,0.0
0.3480225988700565,0.25711304347826086,885,5020.T,5,1.2,2.5,1.0,0.05,0.02,0.2559691124143567,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.02,0.0
0.22088353413654618,0.2268041237113402,996,5076.T,3,1.2,1.5,0.6,0.05,0.05,0.22653210384015124,0.0,0.0,0,3,1.2,1.5,0.6,0.05,0.05,0.0
0.32061068702290074,0.2290909090909091,917,5101.T,5,1.2,2.5,0.6,0.02,0.02,0.2262934287994134,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.26770708283313327,0.2211570247933884,833,5105.T,5,1.2,2.0,0.6,0.05,0.05,0.2191103886314327,0.0,0.0,0,5,1.2,2.0,0.6,0.05,0.05,0.0
0.2860169491525424,0.19343283582089552,944,5108.T,5,1.2,2.5,1.0,0.05,0.02,0.19209520609191413,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.02,0.0
0.29582366589327147,0.2050251256281407,862,5246.T,3,1.2,2.5,0.6,0.05,0.02,0.20144855129060515,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.02,0.0
0.33043478260869563,0.23960591133004927,920,5253.T,5,1.2,2.5,0.6,0.02,0.05,0.23664946697576258,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.3539928486293206,0.26746716697936207,839,5401.T,1,1.2,2.5,0.6,0.05,0.02,0.2627663944585703,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.34080717488789236,0.2498630136986301,669,5406.T,1,1.2,2.5,0.8,0.05,0.02,0.24791848921270362,0.0,0.0,0,1,1.2,2.5,0.8,0.05,0.02,0.0
0.26017130620985013,0.21222707423580783,934,5411.T,3,1.2,2.0,0.6,0.05,0.05,0.21077357768904018,0.0,0.0,0,3,1.2,2.0,0.6,0.05,0.05,0.0
0.3028263795423957,0.2134387351778656,743,5595.T,1,1.2,2.5,0.8,0.02,0.02,0.2082885600160073,0.0,0.0,0,1,1.2,2.5,0.8,0.02,0.02,0.0
0.3490364025695932,0.2612353923205342,934,5631.T,5,1.2,2.5,0.8,0.05,0.02,0.257114565444321,0.0,0.0,0,5,1.2,2.5,0.8,0.05,0.02,0.0
0.32749178532311063,0.23605263157894738,913,5706.T,2,1.2,2.5,1.0,0.05,0.05,0.23351537280057355,0.0,0.0,0,2,1.2,2.5,1.0,0.05,0.05,0.0
0.30938697318007663,0.21744740532959325,1044,5711.T,3,1.2,2.5,0.6,0.02,0.02,0.21482257439061947,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.02,0.0
0.4126637554585153,0.34041275797373355,916,5713.T,2,1.2,2.5,0.8,0.02,0.05,0.3369164246623237,0.0,0.0,0,2,1.2,2.5,0.8,0.02,0.05,0.0
0.22727272727272727,0.23636363636363636,286,5724.T,1,1.2,1.5,1.0,0.02,0.05,0.23501191521384673,0.0,0.0,0,1,1.2,1.5,1.0,0.02,0.05,0.0
0.23510292524377033,0.24694167852062587,923,5726.T,3,1.2,1.5,0.6,0.02,0.05,0.24559743774047613,0.0,0.0,0,3,1.2,1.5,0.6,0.02,0.05,0.0
0.331151832460733,0.24191235059760954,764,5801.T,5,1.2,2.5,0.6,0.05,0.05,0.23741725544107686,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.05,0.0
0.3305882352941176,0.240427807486631,850,5802.T,5,1.2,2.5,0.6,0.02,0.05,0.23681363967045485,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.4075425790754258,0.3371069182389937,822,5803.T,5,1.2,2.5,0.8,0.02,0.05,0.32985912680426865,0.0,0.0,0,5,1.2,2.5,0.8,0.02,0.05,0.0
0.37794432548179874,0.2957068062827225,934,5838.T,3,1.2,2.5,0.6,0.02,0.05,0.2913474572818282,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.05,0.0
0.2714285714285714,0.31666666666666665,70,5952.T,1,1.2,1.5,0.8,0.02,0.02,0.2976817592708725,0.0,0.0,0,1,1.2,1.5,0.8,0.02,0.02,0.0
0.31452455590386624,0.22193548387096773,957,5991.T,5,1.2,2.5,0.6,0.02,0.02,0.22002666463804754,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.3401688781664656,0.25113172541743967,829,6098.T,3,1.2,2.5,0.6,0.05,0.05,0.24721478523581777,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.3298611111111111,0.29636048526863085,864,6113.T,5,1.2,2.0,1.0,0.02,0.05,0.29502188761800985,0.0,0.0,0,5,1.2,2.0,1.0,0.02,0.05,0.0
