code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-01 01:13:00+00:00,2025-10-01,SELL,44.06672668989554,44,-33.97893306150187,<80bp,0.0,neutral,1.3622471256003494,3,1.9914624188098529,17.894166778094945,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 01:57:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-03 00:18:00+00:00,2025-10-03,SELL,-89.16880430315004,2,0.0,<80bp,0.0,neutral,2.0910534674430914,1,1.967303582242784,11.210689135807703,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-03 00:20:00+00:00,False
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-09 00:31:00+00:00,2025-10-09,SELL,63.78006522597846,11,-27.75464890369137,<80bp,-1.1245188636821446,neutral,0.4158277218481231,1,1.6864855283605105,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-09 00:42:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-09 01:00:00+00:00,2025-10-09,BUY,-77.55638976269225,15,-27.75464890369137,<80bp,-4.672947750017364,neutral,1.85588035350102,1,1.9258115091637984,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-09 01:15:00+00:00,False
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-09 01:05:00+00:00,2025-10-09,BUY,-90.7370409224676,13,-27.75464890369137,<80bp,10.57639665542176,neutral,2.076975631974493,2,2.4273002104964205,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-09 01:18:00+00:00,False
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-10 00:25:00+00:00,2025-10-10,SELL,50.11310506829187,21,-19.46607341490545,<80bp,12.987214353157306,neutral,1.3219508573973722,1,1.6638163494665557,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:46:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-10 00:31:00+00:00,2025-10-10,SELL,50.09128830581876,14,-19.46607341490545,<80bp,-14.50170243339155,neutral,0.8050118895189318,2,1.6681235057133632,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:45:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-10 00:34:00+00:00,2025-10-10,SELL,56.47732256623526,9,-19.46607341490545,<80bp,14.89564126010201,neutral,1.0835176991150444,3,2.015137541645439,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:43:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-10 00:40:00+00:00,2025-10-10,SELL,42.03168856799383,3,-19.46607341490545,<80bp,-13.64856149135618,neutral,1.0085448761928522,4,1.6547182162543763,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:43:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-10 00:48:00+00:00,2025-10-10,BUY,37.22925857039502,5,-19.46607341490545,<80bp,-11.52653594792441,neutral,1.264209687929911,1,2.409120777199835,10.657675124740187,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:53:00+00:00,True
